BLOCK,LONG.,LAT.,YIELD_(lpm)
SHANKARGARH,81.50972222,25.20555556,900
SHANKARGARH,81.58333333,25.16666667,252
SHANKARGARH,81.67222222,25.21666667,100
SHANKARGARH,81.70277778,25.10972222,750
SHANKARGARH,81.73333333,25.08333333,450
SHANKARGARH,81.6265971,25.1783935,300
SHANKARGARH,81.6391263,25.2099738,100
URWAN,82.075,25.2125,1900
MANDA,82.2,25.05,1130
JASRA,81.78055556,25.20277778,170
MEJA,81.88333333,25.05,590
MEJA,82.10833333,25.14166667,1350
MEJA,81.99166667,25.15,1450
MEJA,82.16666667,25.025,926
MEJA,81.90277778,25.14444444,770
MEJA,81.93055556,25.09444444,107
MEJA,81.94166667,25.175,450
KORAON,82.0638669,24.9668982,56
KORAON,82.075,24.9916666,340
KORAON,82.0468432,24.9416832,960
KORAON,82.1332818,25.1046225,700
