FID,LATITUDE,LONGITUDE,YIELD__lpm,outcome,CID,gwpz,morphology,geology,lmd1,d_dens2,lulcmap,soil,slope1,rainfall1,twi,roughness,curvature2,tpi
0,25.21666667,81.67222222,100,1,0,1273.099976,3,5,0.0527363,75.956398,2,2,2.39008,61.9942017,-5.0121799,0.370371,-0.222222,1.4490401
1,25.10972222,81.70277778,750,1,0,1259.689941,5,0,0,79.322998,4,2,1.0386699,54.097599,-2.7920301,0.444443,-0.222222,-1.18641
2,25.1783935,81.6265971,300,1,0,1463.51001,5,5,0,88.197403,3,2,0.929039,59.6360016,-4.0667601,0.444443,0.333333,0.910011
3,25.2099738,81.6391263,100,1,0,1046.23999,3,0,0,62.6608009,3,2,1.76843,61.7066994,-4.71068,0.527779,0.333333,3.3278201
4,25.2125,82.075,1900,1,0,1717.880005,0,6,0.0549615,112.4020004,4,2,1.67452,72.1303024,-4.6560798,0.518519,0.555556,-0.260788
5,25.05,82.2,1130,1,0,989.6500244,4,5,0.230844,51.094101,4,1,2.2982199,74.7631989,-4.2797999,0.703705,0,-1.91093
6,25.20277778,81.78055556,170,1,0,914.1480103,5,0,0.0542138,48.3452988,4,2,1.9147201,61.9323997,-4.7902198,0.444443,0.111111,0.124886
7,25.15,81.99166667,1450,1,0,1903.689941,5,0,0,131.0950012,1,2,0.656959,67.3350983,-3.02704,0.444443,-0.222222,1.75207
8,25.14444444,81.90277778,770,1,0,2155.110107,5,0,0,151.0209961,4,2,2.3215301,62.6160011,-4.9830499,0.444445,-0.222222,5.6694198
9,25.175,81.94166667,450,1,0,1778.98999,5,0,0,119.8399963,3,2,1.35416,66.2657013,-3.0573499,0.592593,-0.444444,3.9577601
10,24.9916666,82.075,340,1,0,1581.599976,5,0,0,103.1200027,4,2,0.46455,68.1202011,-0.601021,0.111115,-0.111111,-1.13866
11,25.1046225,82.1332818,700,1,0,1173.869995,4,0,0,70.9999008,4,2,1.35416,73.667099,-4.4436402,0.722221,0.222222,0.805328
12,0,0,0,0,0,1169.089966,5,0,0,75.6106033,2,2,2.2025199,60.9191017,-4.9303699,0.296295,0.555556,-1.16345
13,0,0,0,0,0,2159.439941,5,0,0,151.75,3,2,1.0386699,70.9940033,-1.9811,0.444443,0.222222,-0.816345
14,0,0,0,0,0,1161.369995,0,6,0.0665658,68.6240005,1,1,1.39341,74.6753998,-4.4722199,0.444443,-0.444444,-0.191002
15,0,0,0,0,0,1428.130005,5,0,0,89.0960999,4,2,0.734494,70.3535004,-1.34685,0.222229,0,0.12764
16,0,0,0,0,0,1894.290039,4,5,0.217854,122.5660019,2,1,3.98984,75.8723984,-4.1393499,0.355556,-0.222222,0.500458
17,0,0,0,0,0,1341.540039,0,0,0,89.560997,4,2,0.734494,69.8703995,-1.75231,0.555557,-0.222222,-1.34527
18,0,0,0,0,0,1704.290039,0,6,0,111.3320007,3,2,1.67452,71.1765976,-4.6560798,0.388889,0.555556,1.3866
19,0,0,0,0,0,1201.280029,0,6,0,68.2365036,4,2,4.2625399,73.7397003,-4.89884,0.269841,-0.222222,-0.427917
20,0,0,0,0,0,1441.280029,0,0,0.219988,96.7847977,4,2,4.39855,70.9546967,-4.5249,0.466667,-0.111111,1.78237
21,0,0,0,0,0,1027.23999,4,5,0.074557,54.0862999,2,2,1.46875,61.6707001,-3.42629,0.444445,-0.111111,-0.313133
22,0,0,0,0,0,1841.140015,5,0,0,126.2570038,4,2,0.985384,60.671299,-3.4324999,0.555557,-0.222222,-0.342514
23,0,0,0,0,0,1160.670044,5,0,0.103205,67.5981979,3,2,2.3215301,67.3367004,-4.9830499,0.333333,0.111111,-0.987144
24,0,0,0,0,0,1086.699951,0,6,0,60.4169998,3,2,1.18423,74.476799,-4.3095102,0.222221,0.222222,-0.285583
25,0,0,0,0,0,1071.170044,0,0,0.0132545,68.9440002,1,0,1.35416,74.9825974,3.65043,0.148148,-0.111111,-0.853073
26,0,0,0,0,0,1367.540039,3,5,0,84.6641998,2,2,2.0766699,59.6604004,-4.87148,0.296295,0.111111,0.553719
27,0,0,0,0,0,1251.160034,4,5,0.138082,67.8363037,4,2,2.1024401,73.7354965,-4.8838201,0.59259,0.444444,1.14508
28,0,0,0,0,0,1181.390015,0,6,0,68.2241974,3,2,0.46455,72.4447021,0.0603775,0.444443,-0.222222,-1.99725
